problem_id,source,competition,year,country,domain,subtopic,difficulty,difficulty_source,concepts,prerequisites,solution_depth,estimated_time_minutes,proof_required,reasoning_intensity,calculation_intensity,major_steps,problem_type,language,data_type,problem_text,final_answer,solution_length,solution_words,solution_paragraphs,equation_count,reasoning_indicators,proof_indicators,case_analysis,calculation_indicators,solution_major_steps
MATHNET-067b,MathNet,31st Hellenic Mathematical Olympiad,,Greece,Algebra,Algebraic Expressions | Prealgebra / Basic Algebra,,unknown,Simple Equations | Polynomials > Symmetric functions,,,,True,,,,proof and answer,English,real,"Solve in the real numbers the system
$$
x^3 = \frac{z}{y} - \frac{2y}{z}, \quad y^3 = \frac{x}{z} - \frac{2z}{x}, \quad z^3 = \frac{y}{x} - \frac{2x}{y}.
$$","(-1, -1, -1), (1, 1, -1), (1, -1, 1), (-1, 1, 1)",917,218,1,17,0,0,0,0,1
MATHNET-00g4,MathNet,XV APMO,,Asia Pacific Mathematics Olympiad (APMO),Algebra,Algebraic Expressions | Equations and Inequalities,,unknown,Polynomials > Vieta's formulas | Polynomials > Symmetric functions | Cauchy-Schwarz | QM-AM-GM-HM / Power Mean,,,,True,,,,proof and answer,,real,"Let $a, b, c, d, e, f$ be real numbers such that the polynomial
$$
p(x) = x^{8} - 4x^{7} + 7x^{6} + a x^{5} + b x^{4} + c x^{3} + d x^{2} + e x + f
$$
factorises into eight linear factors $x - x_{i}$, with $x_{i} > 0$ for $i = 1, 2, \ldots, 8$. Determine all possible values of $f$.",1/256,1604,281,2,26,2,0,2,3,2
MATHNET-0f88,MathNet,22nd ASU,,Soviet Union,Geometry,Plane Geometry,,unknown,Quadrilaterals > Cyclic quadrilaterals | Triangles > Triangle trigonometry | Miscellaneous > Angle chasing,,,,True,,,,proof only,,real,"Problem:

In the acute-angled triangle $ABC$, the altitudes $BD$ and $CE$ are drawn. Let $F$ and $G$ be the points of the line $ED$ such that $BF$ and $CG$ are perpendicular to $ED$. Prove that $EF = DG$.",,282,58,2,6,1,0,0,0,2
MATHNET-0akb,MathNet,Balkan Mathematical Olympiad,,North Macedonia,Algebra | Geometry,Algebraic Expressions | Plane Geometry,,unknown,"Analytic / Coordinate Methods > Cartesian coordinates | Polynomials > Irreducibility: Rational Root Theorem, Gauss's Lemma, Eisenstein | Transformations > Homothety | Miscellaneous > Distance chasing | Sequences and Series > Sums and products",,,,True,,,,proof and answer,English,real,"Let $q$ be a positive rational number. Two ants are initially at the same point $X$ in the plane. In the $n$-th minute ($n=1,2,3,\ldots$) each of them chooses whether to walk due north, east, south or west and then walks the distance of $q^n$ meter. After a whole number of minutes, they are at the same point in the plane (not necessarily $X$), but have not taken exactly the same route within that time. Determine all possible values of $q$.",1,1760,307,5,41,3,3,2,1,5
MATHNET-0ijk,MathNet,USAMO,,United States,Algebra,Equations and Inequalities | Intermediate Algebra,,unknown,QM-AM-GM-HM / Power Mean | Quadratic functions,,,,True,,,,proof and answer,,real,"Find all positive integers $n$ such that there are $k \ge 2$ positive rational numbers $a_1, a_2, \dots, a_k$ satisfying $a_1 + a_2 + \dots + a_k = a_1 \cdot a_2 \dots a_k = n$.",n = 4 or n ≥ 6,2167,457,6,45,2,7,2,4,6
MATHNET-0cvb,MathNet,Final round,,Russia,Discrete Mathematics,Combinatorics,,unknown,Invariants / monovariants | Games / greedy algorithms,,,,True,,,,proof and answer,English; Russian,real,"Pasha and Vova play the following game, making moves in turn; Pasha moves first. Initially they have a large piece of plasticine. By a move, Pasha cuts one of the existing pieces into three (of arbitrary sizes), and Vova merges two existing pieces into one. Pasha wins if at some moment there appears to be 100 pieces of equal weights. Can Vova prevent Pasha's win? (R. Efremov, D. Belov)",No; Vova cannot prevent Pasha’s win. Pasha has a winning strategy.,1813,305,5,1,0,0,0,0,5
MATHNET-0lf7,MathNet,Team selection tests,,Vietnam,Geometry,Plane Geometry,,unknown,"Circles > Tangents | Concurrency and Collinearity > Desargues theorem | Advanced Configurations > Isogonal/isotomic conjugates, barycentric coordinates | Advanced Configurations > Polar triangles, harmonic conjugates | Miscellaneous > Angle chasing | Triangles > Triangle centers: centroid, incenter, circumcenter, orthocenter, Euler line, nine-point circle",,,,True,,,,proof only,English,real,"Let $ABC$ be an acute, non-isosceles triangle with circumcircle $(O)$. $BE$, $CF$ are the heights of $\triangle ABC$, and $BE$, $CF$ intersect at $H$. Let $M$ be the midpoint of $AH$, and $K$ be the point on $EF$ such that $HK$ is perpendicular to $EF$. A line not going through $A$ and parallel to $BC$ intersects the minor arcs $AB$ and $AC$ of $(O)$ at $P$, $Q$, respectively. Show that the tangent line of the circumcircle of $CQE$ at $E$, the tangent line of the circumcircle of $BPF$ at $F$, and $MK$ concur.",,2247,403,9,108,4,2,4,0,9
MATHNET-00nu,MathNet,AUT_ABooklet_2023,,Austria,Algebra | Discrete Mathematics,Algebraic Expressions | Combinatorics,,unknown,Counting two ways | Sequences and Series > Sums and products,,,,True,,,,proof and answer,English,real,"Let $n$ be a positive integer. What proportion of the non-empty subsets of $\{1, 2, \dots, 2n\}$ has a smallest element that is odd?
(Birgit Vera Schmidt)",2/3,633,128,1,14,3,0,0,0,1
MATHNET-084f,MathNet,Progetto Olimpiadi di Matematica 2005 GARA di SECONDO LIVELLO,,Italy,Geometry,Plane Geometry,,unknown,Circles > Tangents | Miscellaneous > Distance chasing | Triangles,,,,False,,,,final answer only,,real,"Problem:

Due circonferenze $C_{1}$ e $C_{2}$ di centri $A$ e $B$ sono tangenti esternamente in $T$. Sia $B D$ un segmento tangente a $C_{1}$ in $D$ e sia $T C$ il segmento tangente ad entrambe in $T$ con $C \in B D$. Se $A T$ è lungo 80 e $B T$ è lungo 90, qual è la lunghezza di $C D$?",48,458,87,3,12,0,0,0,0,3
MATHNET-0325,MathNet,Bulgarian Mathematical Competitions,,Bulgaria,Algebra,Algebraic Expressions | Intermediate Algebra,,unknown,Polynomials > Vieta's formulas | Quadratic functions,,,,True,,,,proof and answer,,real,"Problem:
Find all values of $a$, for which the equation
$$
\frac{2 a}{(x+1)^{2}}+\frac{a+1}{x+1}-\frac{2(a+1) x-(a+3)}{2 x^{2}-x-1}=0
$$
has two real roots $x_{1}$ and $x_{2}$ satisfying the relation $x_{2}^{2}-a x_{1}=a^{2}-a-1$.",a = 3 and a = -1 - sqrt(2),1205,176,1,35,4,0,3,0,1
MATHNET-0cu8,MathNet,XLIII Russian mathematical olympiad,,Russia,Algebra | Geometry,Algebraic Expressions | Intermediate Algebra | Plane Geometry,,unknown,Transformations > Translation | Analytic / Coordinate Methods > Cartesian coordinates | Analytic / Coordinate Methods > Trigonometry | Quadratic functions | Polynomials > Polynomial operations,,,,True,,,,proof only,English; Russian,real,"In the Cartesian plane, two graphs $\Gamma_1$ and $\Gamma_2$ of monic quadratic trinomials and two non-parallel lines $l_1$ and $l_2$ are drawn. Assume that $\Gamma_1$ and $\Gamma_2$ cut out segments of equal lengths on $l_1$, and that they cut out segments of equal lengths on $l_2$. Prove that $\Gamma_1$ and $\Gamma_2$ coincide.",,2413,424,5,60,4,0,3,0,5
MATHNET-0gan,MathNet,二〇一七數學奧林匹亞競賽第二階段選訓營,,Taiwan,Algebra | Number Theory,Algebraic Expressions | Other | Prealgebra / Basic Algebra,,unknown,Functional Equations | Decimals | Integers,,,,True,,,,proof and answer,,real,"對於任何正整數 $k$, 令 $S(k)$ 表示其在十進制下的各個位數總和 (例: $S(209) = 2 + 0 + 9 = 11$)。試求所有整係數多項式 $P(x)$, 使得對於所有正整數 $n \ge 2017$, 都有 $P(n) > 0$ 且
$$
S(P(n)) = P(S(n)).
$$","P(x) = x or P(x) = c for c in {1, 2, 3, 4, 5, 6, 7, 8, 9}",1050,221,5,39,0,0,0,0,5
MATHNET-0ekm,MathNet,66. matematično tekmovanje srednješolcev Slovenije,,Slovenia,Algebra,Algebraic Expressions,,unknown,Functional Equations,,,,False,,,,MCQ,,real,"Problem:

Naj bo $f: \mathbb{R} \rightarrow \mathbb{R}$ funkcija, za katero velja
$$
f(x)= \begin{cases}x ; & x \geq 2 \\ f(4-x) ; & 0 \leq x<2 \\ f(x+2) ; & x<0\end{cases}
$$
Koliko je $f(-5)$ ?
(A) -3
(B) -1
(C) 1
(D) 3
(E) 5",D,77,4,2,2,0,0,0,0,2
MATHNET-058t,MathNet,Estonian Math Competitions,,Estonia,Geometry,Plane Geometry,,unknown,Circles > Tangents | Transformations > Rotation | Miscellaneous > Constructions and loci,,,,True,,,,proof only,English,real,"a. There are $2n$ rays marked in a plane, with $n$ being a natural number. Given that no two marked rays have the same direction and no two marked rays have a common initial point, prove that there exists a line that passes through none of the initial points of the marked rays and intersects with exactly $n$ marked rays.

b. Would the claim still hold if the assumption that no two marked rays have a common initial point was dropped?",,1096,192,2,20,2,0,0,0,2
MATHNET-08of,MathNet,Junior Balkan Mathematical Olympiad,,JBMO,Number Theory,Divisibility / Factorization | Other,,unknown,Factorization techniques,,,,True,,,,proof and answer,,real,"Problem:
Let $A = 1 \cdot 4 \cdot 7 \cdot \ldots \cdot 2014$ be the product of the numbers less or equal to $2014$ that give remainder $1$ when divided by $3$. Find the last non-zero digit of $A$.",2,1701,303,1,14,2,0,1,2,1
MATHNET-05ta,MathNet,PRÉPARATION OLYMPIQUE FRANÇAISE DE MATHÉMATIQUES,,France,Geometry,Plane Geometry,,unknown,Circles > Tangents | Quadrilaterals > Cyclic quadrilaterals | Miscellaneous > Angle chasing,,,,True,,,,proof only,,real,"Problem:

Soit $ABC$ un triangle et $\Gamma$ un cercle passant par $A$. On suppose que $\Gamma$ recoupe les segments $[AB]$ et $[AC]$ en deux points, que l'on appelle respectivement $D$ et $E$, et qu'il coupe le segment $[BC]$ en deux points, que l'on appelle $F$ et $G$, de sorte que $F$ se trouve entre $B$ et $G$. Soit $T$ le point d'intersection entre la tangente en $F$ au cercle circonscrit à $BDF$ et la tangente en $G$ au cercle circonscrit à $CEG$.
Démontrer que, si les points $A$ et $T$ sont distincts, alors $(AT)$ et $(BC)$ sont parallèles.",,931,175,3,12,0,0,0,0,3
MATHNET-00yo,MathNet,Baltic Way,,Baltic Way,Algebra,Algebraic Expressions,,unknown,Functional Equations > Injectivity / surjectivity | Functional Equations > Existential quantifiers,,,,True,,,,proof and answer,,real,"Problem:
Find all real-valued functions $f$ defined on the set of all non-zero real numbers such that:
(i) $f(1)=1$,
(ii) $f\left(\frac{1}{x+y}\right)=f\left(\frac{1}{x}\right)+f\left(\frac{1}{y}\right)$ for all non-zero $x, y, x+y$,
(iii) $(x+y) f(x+y)=x y f(x) f(y)$ for all non-zero $x, y, x+y$.",f(x) = 1/x,896,108,1,24,4,0,1,0,1
MATHNET-0g3p,MathNet,Zweite Runde 2021,,Switzerland,Geometry,Plane Geometry,,unknown,Quadrilaterals > Cyclic quadrilaterals | Concurrency and Collinearity > Menelaus' theorem | Miscellaneous > Angle chasing,,,,True,,,,proof only,,real,"Problem:

Sei $ABC$ ein spitzwinkliges Dreieck mit $BC > AC$. Die Mittelsenkrechte der Seite $AB$ schneidet die Gerade $BC$ in $X$ und die Gerade $AC$ in $Y$. Sei $P$ die Projektion von $X$ auf $AC$ und sei $Q$ die Projektion von $Y$ auf $BC$. Beweise, dass die Gerade $PQ$ die Strecke $AB$ in ihrem Mittelpunkt schneidet.",,2532,400,11,49,0,0,0,0,11
MATHNET-0ias,MathNet,Bay Area Mathematical Olympiad,,United States,Discrete Mathematics | Geometry,Combinatorics | Plane Geometry,,unknown,"Combinatorial Geometry | Coloring schemes, extremal arguments | Miscellaneous > Angle chasing",,,,True,,,,proof only,,real,"Problem:
A tiling of the plane with polygons consists of placing the polygons in the plane so that interiors of polygons do not overlap, each vertex of one polygon coincides with a vertex of another polygon, and no point of the plane is left uncovered. A unit polygon is a polygon with all sides of length one.
It is quite easy to tile the plane with infinitely many unit squares. Likewise, it is easy to tile the plane with infinitely many unit equilateral triangles.

a. Prove that there is a tiling of the plane with infinitely many unit squares and infinitely many unit equilateral triangles in the same tiling.

b. Prove that it is impossible to find a tiling of the plane with infinitely many unit squares and finitely many (and at least one) unit equilateral triangles in the same tiling.",,2842,475,11,8,4,7,1,0,11
MATHNET-05tc,MathNet,Envoi 5: Pot Pourri,,France,Geometry,Plane Geometry,,unknown,"Quadrilaterals > Cyclic quadrilaterals | Triangles > Triangle centers: centroid, incenter, circumcenter, orthocenter, Euler line, nine-point circle | Miscellaneous > Angle chasing",,,,True,,,,proof only,,real,"Problem:

Soit $ABC$ un triangle dont les angles sont aigus. La hauteur issue de $A$ recoupe le cercle circonscrit au triangle $ABC$ en un point $D$. La hauteur issue de $B$ recoupe le cercle circonscrit au triangle $ABC$ en un point $E$. La droite $(ED)$ coupe les côtés $[AC]$ et $[BC]$ respectivement en les points $P$ et $Q$. Montrer que les points $P, Q, B$ et $A$ sont cocycliques.",,1313,174,6,21,0,0,0,0,6
MATHNET-0i4x,MathNet,Harvard-MIT Math Tournament,,United States,Discrete Mathematics,Combinatorics,,unknown,"Recursion, bijection",,,,False,,,,final answer only,,real,"Problem:

A restricted path of length $n$ is a path of length $n$ such that for all $i$ between $1$ and $n-2$ inclusive, if the $i$th step is upward, the $i+1$st step must be rightward.
Find the number of restricted paths that start at $(0,0)$ and end at $(7,3)$.",56,416,69,2,9,0,0,0,0,2
MATHNET-0h3p,MathNet,Ukrainian Mathematical Olympiad,,Ukraine,Discrete Mathematics,Combinatorics | Graph Theory,,unknown,"Coloring schemes, extremal arguments | Matchings, Marriage Lemma, Tutte's theorem",,,,True,,,,proof and answer,English,real,"Is it possible to fill in a table $7 \times 7$ with $24$ ones and $25$ zeros so that:
1) for each cell containing one, sum of numbers in neighbour cells equals one,
2) for each cell containing zero, sum of numbers in neighbour cells does not equal one?
(Two cells are neighbours if they have a common side.)",Yes,76,9,2,0,0,0,0,0,2
MATHNET-0ar9,MathNet,13th Philippine Mathematical Olympiad,,Philippines,Algebra,Algebraic Expressions,,unknown,Polynomials > Polynomial operations,,,,True,,,,proof and answer,,real,"Problem:

Let $f(x)$ be a cubic polynomial. If $f(x)$ is divided by $2x+3$, the remainder is $4$, while if it is divided by $3x+4$, the remainder is $5$. What will be the remainder when $f(x)$ is divided by $6x^{2}+17x+12$?",6x + 13,0,0,0,0,0,0,0,0,0
MATHNET-038c,MathNet,Spring Mathematical Competition,,Bulgaria,Discrete Mathematics,Combinatorics,,unknown,"Coloring schemes, extremal arguments | Pigeonhole principle | Counting two ways",,,,True,,,,proof and answer,,real,"Problem:

The sets $M=\{1,2, \ldots, 27\}$ and $A=\{a_{1}, a_{2}, \ldots, a_{k}\} \subset \{1,2, \ldots, 14\}$ have the following property: every element of $M$ is either an element of $A$ or the sum of two (possibly identical) elements of $A$. Find the minimum value of $k$.",8,1559,230,7,42,9,2,4,0,7
MATHNET-0c9x,MathNet,Olimpiada Naţională GAZETA MATEMATICĂ,,Romania,Geometry,Plane Geometry,,unknown,Analytic / Coordinate Methods > Vectors | Analytic / Coordinate Methods > Trigonometry | Geometric Inequalities > Optimization in geometry,,,,True,,,,proof and answer,,real,"Problem:

Fie $P_{0}, P_{1}, \ldots, P_{2021}$ puncte pe cercul trigonometric, de centru $O$ şi rază $1$, astfel încât, pentru orice $n \in \{1,2, \ldots, 2021\}$, lungimea arcului de cerc parcurs în sens trigonometric de la $P_{n-1}$ la $P_{n}$ aparţine intervalului $\left[\frac{\pi}{2}, \pi\right]$.
Aflaţi lungimea maximă a vectorului
$$
\overrightarrow{O P}_{0}+\overrightarrow{O P}_{1}+\cdots+\overrightarrow{O P}_{2021}
$$",√2,0,0,0,0,0,0,0,0,0
MATHNET-0adb,MathNet,Macedonian Mathematical Competitions,,North Macedonia,Algebra | Discrete Mathematics,Combinatorics | Prealgebra / Basic Algebra,,unknown,Integers | Invariants / monovariants,,,,True,,,,proof and answer,,real,Let $1*2*3*4*5*6*7*8*9=0$ be a given equality. Is it possible to substitute some of the $*$ with $+$ and the others with $-$ to obtain a correct equality?,No,393,82,1,7,0,0,0,2,1
MATHNET-0c6i,MathNet,2019 ROMANIAN MATHEMATICAL OLYMPIAD,,Romania,Number Theory,Diophantine Equations | Divisibility / Factorization,,unknown,"Techniques: modulo, size analysis, order analysis, inequalities",,,,True,,,,proof and answer,English,real,"Determine all pairs $(a, b)$, of non-negative integers such that the quotients
$$
\frac{3a + 8b + 2}{10a + 2b + 1} \quad \text{and} \quad \frac{8a + b + 3}{2a + 7b + 3}
$$
are integers simultaneously.","(a, b) = (0, 0) and (1, 1)",0,0,0,0,0,0,0,0,0
MATHNET-06nw,MathNet,IMO Preliminary Selection Contest — Hong Kong,,Hong Kong,Discrete Mathematics,Combinatorics,,unknown,"Pigeonhole principle | Coloring schemes, extremal arguments",,,,True,,,,proof and answer,,real,"There is a $20 \times 20$ table and $400$ cards printed with the numbers $1$ to $400$. The cards are then distributed to the cells of the table so that there is one card in each cell. After that, we put a red sticker on the card in each row with the largest number, and a blue sticker on the card in each column with the largest number. Let $A$ denote the smallest number on the $20$ cards with red stickers, and $B$ denote the smallest number on the $20$ cards with blue stickers. How many different possible values of $|A - B|$ are there?",362,1343,339,7,27,1,0,0,0,7
MATHNET-02kg,MathNet,Brazilian Mathematical Olympiad,,Brazil,Algebra,Prealgebra / Basic Algebra,,unknown,Simple Equations,,,,False,,,,MCQ,,real,"Problem:

Em um quadrado mágico, a soma dos 3 números de cada linha, coluna ou diagonal é sempre a mesma. A seguir temos um quadrado mágico, parcialmente preenchido.

|   |   |   |
| :--- | :--- | :--- |
| 1 | 14 | $x$ |
| 26 |   | 13 |

Qual é o valor de $x$?
A) 20
B) 22
C) 23
D) 25
E) 27",E) 27,419,58,3,5,0,0,0,0,3
MATHNET-09q7,MathNet,Dutch TST,,Netherlands,Geometry,Plane Geometry,,unknown,Quadrilaterals > Cyclic quadrilaterals | Circles > Tangents | Miscellaneous > Angle chasing,,,,True,,,,proof only,,real,"Problem:

De twee cirkels $\Gamma_{1}$ en $\Gamma_{2}$ snijden elkaar in $P$ en $Q$. De gemeenschappelijke raaklijn aan de kant van $P$ raakt de cirkels in $A$ resp. $B$. De raaklijn aan $\Gamma_{1}$ in $P$ snijdt $\Gamma_{2}$ voor de tweede keer in $C$ en de raaklijn aan $\Gamma_{2}$ in $P$ snijdt $\Gamma_{1}$ voor de tweede keer in $D$. Het snijpunt van de lijnen $A P$ en $B C$ noemen we $E$ en het snijpunt van de lijnen $B P$ en $A D$ noemen we $F$. Zij $M$ de puntspiegeling van $P$ in het midden van $A B$. Bewijs dat $A M B E Q F$ een koordenzeshoek is.",,1447,260,7,32,0,0,0,0,7
MATHNET-0d6e,MathNet,SAUDI ARABIAN MATHEMATICAL COMPETITIONS,,Saudi Arabia,Discrete Mathematics | Number Theory,Divisibility / Factorization | Modular Arithmetic | Other,,unknown,Greatest common divisors (gcd) | Inverses mod n,,,,True,,,,proof only,English,real,"1) Prove that there are infinitely many positive integers $n$ such that there exists a permutation of $1,2,3, \ldots, n$ with the property that the difference between any two adjacent numbers is equal to either $2015$ or $2016$.

2) Let $k$ be a positive integer. Is the statement in 1) still true if we replace the numbers $2015$ and $2016$ by $k$ and $k+2016$, respectively?",,2940,478,8,62,1,3,1,0,8
MATHNET-05e9,MathNet,EGMO 2024,,European Girls' Mathematical Olympiad (EGMO),Algebra,Algebraic Expressions,,unknown,"Polynomials > Polynomial operations | Polynomials > Polynomial interpolation: Newton, Lagrange",,,,True,,,,proof and answer,,real,"Problem:
Find all positive integers $d$ for which there exists a degree $d$ polynomial $P$ with real coefficients such that there are at most $d$ different values among $P(0), P(1), \ldots, P\left(d^{2}-d\right)$.","{1, 2, 3}",10472,1545,20,217,17,18,16,4,20
MATHNET-0cy2,MathNet,SAMC,,Saudi Arabia,Algebra | Geometry,Equations and Inequalities | Plane Geometry,,unknown,"Triangles > Triangle centers: centroid, incenter, circumcenter, orthocenter, Euler line, nine-point circle | Analytic / Coordinate Methods > Cartesian coordinates | Cauchy-Schwarz | Miscellaneous > Angle chasing",,,,True,,,,proof and answer,English,real,"Let $ABC$ be a right angled triangle with $\widehat{A}=90^{\circ}$ and $BC=a$, $AC=b$, $AB=c$. Let $d$ be a line passing through the incenter of triangle and intersecting the sides $AB$ and $AC$ in $P$ and $Q$, respectively.

a. Prove that
$$
b \cdot \frac{PB}{PA} + c \cdot \frac{QC}{QA} = a ;
$$

b. Find the minimum of
$$
\left(\frac{PB}{PA}\right)^{2} + \left(\frac{QC}{QA}\right)^{2} .
$$",1,2784,437,4,50,7,1,0,0,4
MATHNET-00up,MathNet,BMO 2023 Short List,,Balkan Mathematical Olympiad,Geometry,Plane Geometry,,unknown,"Quadrilaterals > Cyclic quadrilaterals | Advanced Configurations > Simson line | Advanced Configurations > Miquel point | Circles > Radical axis theorem | Advanced Configurations > Polar triangles, harmonic conjugates | Miscellaneous > Angle chasing | Triangles > Triangle centers: centroid, incenter, circumcenter, orthocenter, Euler line, nine-point circle",,,,True,,,,proof only,,real,"Let $ABC$ be a triangle with circumcenter $O$. Point $X$ is the intersection of the parallel line from $O$ to $AB$ with the perpendicular line to $AC$ from $C$. Let $Y$ be the point where the external bisector of $\angle BXC$ intersects with $AC$. Let $K$ be the projection of $X$ onto $BY$.
Prove that the lines $AK$, $XO$, $BC$ have a common point.",,2226,408,4,64,4,3,0,0,4
MATHNET-0edn,MathNet,Slovenija 2016,,Slovenia,Geometry,Plane Geometry,,unknown,Triangles > Triangle trigonometry | Miscellaneous > Distance chasing | Miscellaneous > Angle chasing,,,,False,,,,MCQ,,real,"Take an equilateral triangle $ABC$ with the side of length $a$. Draw the squares $BADE$ and $CBFG$ on the sides $AB$ and $BC$, respectively (see figure). How long is the line segment $DG$?
![](attached_image_1.png)
(A) $(\sqrt{2} + 1)a$
(B) $(2\sqrt{2} + 1)a$
(C) $(\sqrt{3} + 1)a$
(D) $\sqrt{3}a$
(E) 1",(\sqrt{3} + 1)a,644,111,1,17,1,0,0,0,1
MATHNET-0gfv,MathNet,"2022 數學奧林匹亞競賽第二階段培訓營, 獨立研究 (二)",,Taiwan,Algebra,Algebraic Expressions | Intermediate Algebra,,unknown,Polynomials | Complex numbers,,,,True,,,,proof only,Chinese; English,real,"對任一正整數 $n$，證明多項式
$$
P_n(x) = \sum_{k=0}^{n} 2^k \binom{2n}{2k} x^k (x-1)^{n-k}
$$
有 $n$ 個實根。

(註：$\binom{2n}{2k}$ 為二項式係數。)",,0,0,0,0,0,0,0,0,0
MATHNET-0e06,MathNet,National Math Olympiad,,Slovenia,Algebra,Algebraic Expressions,,unknown,Polynomials > Polynomial operations,,,,True,,,,proof and answer,,real,"Consider all polynomials with the leading coefficient $1$ that give the remainder of $1$ when divided by $x + 1$ and the remainder $2$ when divided by $x^2 + 1$. Among these, find the polynomial of the lowest degree.",x^3 + (1/2)x^2 + x + 5/2,958,247,2,27,3,0,1,0,2
MATHNET-05j5,MathNet,OFM,,France,Geometry,Plane Geometry,,unknown,"Triangles > Triangle centers: centroid, incenter, circumcenter, orthocenter, Euler line, nine-point circle | Miscellaneous > Angle chasing",,,,True,,,,proof only,,real,"Problem:

Sur la diagonale $[BD]$ d'un carré $ABCD$ on a choisi un point $E$. Soient $O_{1}$ et $O_{2}$ les centres des cercles circonscrits aux triangles $ABE$ et $ADE$ respectivement. Montrer que $AO_{1}EO_{2}$ est un carré.

![](attached_image_1.png)",,335,51,3,10,0,0,0,0,3
MATHNET-0f0z,MathNet,ASU,,Soviet Union,Algebra,Algebraic Expressions,,unknown,Functional Equations,,,,True,,,,proof and answer,,real,"Problem:

$f$ is a function on the closed interval $[0, 1]$ with non-negative real values. $f(1) = 1$ and $f(x + y) \geq f(x) + f(y)$ for all $x, y$. Show that $f(x) \leq 2x$ for all $x$. Is it necessarily true that $f(x) \leq 1.9x$ for all $x$?","Yes, always f(x) ≤ 2x. No, the bound with coefficient 1.9 is not guaranteed; for example, the function that is zero on the left half and one on the right half violates it.",399,84,4,14,1,0,1,0,4
MATHNET-034j,MathNet,Bulgarian Mathematical Competitions,,Bulgaria,Algebra | Number Theory,Diophantine Equations | Equations and Inequalities,,unknown,"Techniques: modulo, size analysis, order analysis, inequalities | Linear and quadratic inequalities",,,,True,,,,proof only,,real,"Problem:
Prove that for every positive integer $n$ there exist integers $p$ and $q$ such that
$$
\left|p^{2}+2 q^{2}-n\right| \leq \sqrt[4]{9 n}
$$",,809,156,1,21,0,0,2,0,1
MATHNET-0d0v,MathNet,Saudi Arabia Mathematical Competitions 2012,,Saudi Arabia,Geometry,Plane Geometry,,unknown,"Triangles > Triangle centers: centroid, incenter, circumcenter, orthocenter, Euler line, nine-point circle | Quadrilaterals > Cyclic quadrilaterals | Triangles > Triangle trigonometry | Miscellaneous > Angle chasing | Miscellaneous > Constructions and loci",,,,True,,,,proof only,English,real,"Let $ABC$ be a triangle, $I_a$ the excenter opposite to $A$, and $M$ its reflection across $BC$. Prove that $AM$ is parallel to the Euler line of triangle $BCI_a$.",,2339,319,8,52,9,0,0,0,8
MATHNET-0ec2,MathNet,"15. tekmovanje v znanju matematike za dijake srednjih tehniških in strokovnih šol, Državno tekmovanje",,Slovenia,Statistics,Probability,,unknown,Counting Methods > Permutations,,,,True,,,,proof and answer,,real,"Problem:

Iz črk besede LJUBEZNIVOST sestavljamo besede dolžine 4. Črke se ne smejo ponavljati.

a) Koliko različnih besed lahko sestavimo?

b) Koliko različnih besed lahko sestavimo, če uporabimo le samoglasnike?

c) Izračunaj verjetnost, da iz naključno izbranih črk sestavimo besedo NEBO.

d) Izračunaj verjetnost, da iz naključno izbranih črk sestavimo besedo, ki se začne in konča s soglasnikom.

(8 točk)",a) 11880; b) 24; c) 1/11880; d) 14/33,0,0,0,0,0,0,0,0,0
MATHNET-0kfj,MathNet,HMMT February 2020,,United States,Algebra,Algebraic Expressions,,unknown,Polynomials > Vieta's formulas | Polynomials > Polynomial operations | Polynomials > Symmetric functions,,,,True,,,,proof and answer,,real,"Problem:
Let $P(x) = x^{2020} + x + 2$, which has $2020$ distinct roots. Let $Q(x)$ be the monic polynomial of degree $\binom{2020}{2}$ whose roots are the pairwise products of the roots of $P(x)$. Let $\alpha$ satisfy $P(\alpha) = 4$. Compute the sum of all possible values of $Q\left(\alpha^{2}\right)^{2}$.",2020*2^{2019},1525,196,1,24,2,0,0,1,1
MATHNET-0kqz,MathNet,HMMT February,,United States,Algebra | Geometry,Algebraic Expressions | Linear Algebra | Plane Geometry,,unknown,Analytic / Coordinate Methods > Complex numbers in geometry | Linear transformations | Determinants | Polynomials > Roots of unity,,,,False,,,,final answer only,,real,"Problem:
For a point $P=(x, y)$ in the Cartesian plane, let $f(P)=\left(x^{2}-y^{2}, 2 x y-y^{2}\right)$. If $S$ is the set of all $P$ so that the sequence $P, f(P), f(f(P)), f(f(f(P))), \ldots$ approaches $(0,0)$, then the area of $S$ can be expressed as $\pi \sqrt{r}$ for some positive real number $r$. Compute $\lfloor 100 r\rfloor$.",133,830,93,1,13,1,0,0,1,1
MATHNET-03ma,MathNet,Kanada 2011,,Canada,Discrete Mathematics | Number Theory,Combinatorics | Modular Arithmetic,,unknown,Pigeonhole principle,,,,True,,,,proof only,English,real,"Show that there exists a positive integer $N$ such that for all integers $a > N$, there exists a contiguous substring of the decimal expansion of $a$ that is divisible by $2011$. (For instance, if $a = 153204$, then $15$, $532$, and $0$ are all contiguous substrings of $a$. Note that $0$ is divisible by $2011$.)",,560,99,4,19,3,0,1,0,4
