problem_id,similar_problem_id,similarity_score
MATHNET-03x3,MATHNET-023c | MATHNET-0jp5 | MATHNET-0a7r | MATHNET-0cgq | MATHNET-0adi | MATHNET-07vc | MATHNET-0bmd | MATHNET-0b2w | MATHNET-02n7 | MATHNET-0kd5,0.9187 | 0.8407 | 0.8374 | 0.8309 | 0.8272 | 0.8256 | 0.8092 | 0.8026 | 0.7994 | 0.7986
MATHNET-03xa,MATHNET-0dk0 | MATHNET-0l8o | MATHNET-0aho | MATHNET-0kfj | MATHNET-01uc | MATHNET-01ub | MATHNET-0k65 | MATHNET-05ai | MATHNET-09af | MATHNET-0ij0,0.8528 | 0.8461 | 0.8193 | 0.8162 | 0.8129 | 0.8108 | 0.7962 | 0.7712 | 0.7699 | 0.7670
MATHNET-03xn,MATHNET-0cwk | MATHNET-051m | MATHNET-08m2 | MATHNET-010r | MATHNET-0lfz | MATHNET-00up | MATHNET-0cu5 | MATHNET-01b7 | MATHNET-0dq2 | MATHNET-01ud,0.7799 | 0.7661 | 0.7611 | 0.7566 | 0.7393 | 0.7382 | 0.7266 | 0.7252 | 0.7227 | 0.7213
MATHNET-03yl,MATHNET-0bis | MATHNET-017x | MATHNET-0akk | MATHNET-06jk | MATHNET-0lco | MATHNET-0cu8 | MATHNET-07nh | MATHNET-00fc | MATHNET-04xs | MATHNET-09m6,0.7983 | 0.7837 | 0.7792 | 0.7406 | 0.7327 | 0.7284 | 0.7150 | 0.7075 | 0.6959 | 0.6852
MATHNET-03z3,MATHNET-0ijk | MATHNET-07dr | MATHNET-0akb | MATHNET-07ad | MATHNET-0dst | MATHNET-047k | MATHNET-01zv | MATHNET-00rl | MATHNET-00ac | MATHNET-0b7n,0.7951 | 0.7812 | 0.7762 | 0.7650 | 0.7613 | 0.7595 | 0.7537 | 0.7533 | 0.7497 | 0.7467
MATHNET-03zn,MATHNET-0krr | MATHNET-07o3 | MATHNET-03f4 | MATHNET-0a4k | MATHNET-00mi | MATHNET-0bnh | MATHNET-0a5l | MATHNET-0l0n | MATHNET-058t | MATHNET-0d5z,0.8502 | 0.8059 | 0.7843 | 0.7796 | 0.7788 | 0.7749 | 0.7726 | 0.7674 | 0.7665 | 0.7577
MATHNET-03zv,MATHNET-0hc1 | MATHNET-00p6 | MATHNET-0j50 | MATHNET-00nu | MATHNET-0l0n | MATHNET-03di | MATHNET-0kpx | MATHNET-0inz | MATHNET-0bnh | MATHNET-0jzx,0.9286 | 0.9175 | 0.8673 | 0.8570 | 0.8439 | 0.8377 | 0.8323 | 0.8311 | 0.8226 | 0.8204
MATHNET-0413,MATHNET-0609 | MATHNET-0huv | MATHNET-0ag7 | MATHNET-0aj0 | MATHNET-0dqf | MATHNET-0ksl | MATHNET-0jxp | MATHNET-041i | MATHNET-05u0 | MATHNET-0b84,0.7943 | 0.7882 | 0.7841 | 0.7636 | 0.7292 | 0.7148 | 0.7028 | 0.6986 | 0.6896 | 0.6861
MATHNET-041i,MATHNET-00jk | MATHNET-0ksl | MATHNET-07w7 | MATHNET-0d92 | MATHNET-06fc | MATHNET-0457 | MATHNET-08nc | MATHNET-0jxp | MATHNET-0i9p | MATHNET-0hs2,0.8357 | 0.8356 | 0.8239 | 0.7630 | 0.7599 | 0.7505 | 0.7434 | 0.7389 | 0.7383 | 0.7272
MATHNET-042z,MATHNET-0jfs | MATHNET-0kig | MATHNET-0j09 | MATHNET-0iwd | MATHNET-0l56 | MATHNET-02xf | MATHNET-0jet | MATHNET-0kq5 | MATHNET-0l0y | MATHNET-0apw,0.8039 | 0.7199 | 0.7045 | 0.7029 | 0.6825 | 0.6822 | 0.6787 | 0.6756 | 0.6728 | 0.6680
MATHNET-043v,MATHNET-0axv | MATHNET-0jjl | MATHNET-0i5e | MATHNET-0b1j | MATHNET-0j2y | MATHNET-0kt8 | MATHNET-0aw2 | MATHNET-0jsa | MATHNET-0ia7 | MATHNET-0kq5,0.9324 | 0.9229 | 0.8487 | 0.8401 | 0.8292 | 0.8225 | 0.8164 | 0.8068 | 0.8065 | 0.8011
MATHNET-0455,MATHNET-0217 | MATHNET-0akr | MATHNET-06pl | MATHNET-04u6 | MATHNET-0bow | MATHNET-05dk | MATHNET-0glc | MATHNET-04t3 | MATHNET-0906 | MATHNET-0kfw,0.9674 | 0.9038 | 0.8811 | 0.8620 | 0.8434 | 0.8332 | 0.8108 | 0.8075 | 0.8041 | 0.8030
MATHNET-0457,MATHNET-00jk | MATHNET-041i | MATHNET-07w7 | MATHNET-0l9s | MATHNET-06fc | MATHNET-07ko | MATHNET-0d92 | MATHNET-0i9p | MATHNET-0ksl | MATHNET-08nc,0.7655 | 0.7505 | 0.7441 | 0.7326 | 0.7254 | 0.7072 | 0.7041 | 0.6887 | 0.6868 | 0.6820
MATHNET-045v,MATHNET-0h61 | MATHNET-0479 | MATHNET-020e | MATHNET-06xj | MATHNET-00hy | MATHNET-0bhh | MATHNET-0dps | MATHNET-077p | MATHNET-0jgz | MATHNET-0bzc,0.8893 | 0.8873 | 0.8868 | 0.8567 | 0.8550 | 0.8420 | 0.8393 | 0.8370 | 0.8370 | 0.8274
MATHNET-0479,MATHNET-045v | MATHNET-020e | MATHNET-0h61 | MATHNET-077p | MATHNET-0inh | MATHNET-06xj | MATHNET-00hy | MATHNET-090m | MATHNET-04ru | MATHNET-0dps,0.8873 | 0.8616 | 0.8595 | 0.8503 | 0.8478 | 0.8459 | 0.8376 | 0.8375 | 0.8313 | 0.8309
MATHNET-047k,MATHNET-00rl | MATHNET-04x6 | MATHNET-07d3 | MATHNET-08y2 | MATHNET-05bk | MATHNET-03z3 | MATHNET-01b9 | MATHNET-07gw | MATHNET-0b7n | MATHNET-0ggp,0.8076 | 0.7972 | 0.7817 | 0.7748 | 0.7715 | 0.7595 | 0.7588 | 0.7476 | 0.7440 | 0.7370
MATHNET-048d,MATHNET-0ilv | MATHNET-0agp | MATHNET-0cus | MATHNET-07gg | MATHNET-07xw | MATHNET-0jqi | MATHNET-00qi | MATHNET-06jk | MATHNET-0590 | MATHNET-014r,0.8111 | 0.7473 | 0.7466 | 0.7426 | 0.7064 | 0.6758 | 0.6646 | 0.6637 | 0.6571 | 0.6499
MATHNET-0490,MATHNET-04st | MATHNET-04ch | MATHNET-0a32 | MATHNET-0ar9 | MATHNET-0au5 | MATHNET-0cy4 | MATHNET-09u9 | MATHNET-0anq | MATHNET-0br0 | MATHNET-0lad,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000
MATHNET-049x,MATHNET-04dz | MATHNET-0c4k | MATHNET-08ic | MATHNET-004m | MATHNET-008t | MATHNET-00cj | MATHNET-0bqa | MATHNET-0c9x | MATHNET-0041 | MATHNET-0atn,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000
MATHNET-049z,MATHNET-07mb | MATHNET-08kn | MATHNET-0j5i | MATHNET-0akb | MATHNET-01bf | MATHNET-01bj | MATHNET-0759 | MATHNET-0gdx | MATHNET-0bx8 | MATHNET-0f8b,0.8611 | 0.8342 | 0.7795 | 0.7793 | 0.7705 | 0.7700 | 0.7669 | 0.7629 | 0.7579 | 0.7575
MATHNET-04a3,MATHNET-0jgr | MATHNET-00nb | MATHNET-0752 | MATHNET-017c | MATHNET-0jtz | MATHNET-0a2l | MATHNET-01kt | MATHNET-04yn | MATHNET-0d6e | MATHNET-08pg,0.8163 | 0.7813 | 0.7595 | 0.7565 | 0.7553 | 0.7359 | 0.7346 | 0.7341 | 0.7272 | 0.7252
MATHNET-04a8,MATHNET-0bmx | MATHNET-0gx3 | MATHNET-0ena | MATHNET-06mm | MATHNET-0d5z | MATHNET-0k97 | MATHNET-03f4 | MATHNET-0ka4 | MATHNET-07vc | MATHNET-0acd,0.9506 | 0.9457 | 0.9362 | 0.9150 | 0.8969 | 0.8899 | 0.8717 | 0.8671 | 0.8376 | 0.8354
MATHNET-04aq,MATHNET-0cwp | MATHNET-00ac | MATHNET-0a2l | MATHNET-099l | MATHNET-0cjq | MATHNET-0d6e | MATHNET-02h7 | MATHNET-03vm | MATHNET-0jtz | MATHNET-00hu,0.8461 | 0.7892 | 0.7811 | 0.7801 | 0.7780 | 0.7640 | 0.7601 | 0.7517 | 0.7451 | 0.7435
MATHNET-04bo,MATHNET-09i8 | MATHNET-0cx2 | MATHNET-0e84 | MATHNET-0amu | MATHNET-0kqf | MATHNET-0eao | MATHNET-0e8i | MATHNET-09wj | MATHNET-0axe | MATHNET-0apd,0.9737 | 0.9737 | 0.9610 | 0.9610 | 0.9610 | 0.9610 | 0.9610 | 0.8181 | 0.8129 | 0.8031
MATHNET-04ch,MATHNET-04st | MATHNET-0ar9 | MATHNET-0490 | MATHNET-0lad | MATHNET-0br0 | MATHNET-0au5 | MATHNET-0a32 | MATHNET-0gm2 | MATHNET-000t | MATHNET-0anq,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000
MATHNET-04dz,MATHNET-0041 | MATHNET-004m | MATHNET-0c9x | MATHNET-08ic | MATHNET-0bqa | MATHNET-00cj | MATHNET-008t | MATHNET-0atn | MATHNET-049x | MATHNET-0c4k,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000
MATHNET-04e2,MATHNET-0dgx | MATHNET-09k0 | MATHNET-0gg9 | MATHNET-09jr | MATHNET-01t8 | MATHNET-0f03 | MATHNET-0dgr | MATHNET-0cie | MATHNET-09ka | MATHNET-04uw,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000
MATHNET-04e7,MATHNET-0d1o | MATHNET-0k4h | MATHNET-0au7 | MATHNET-0a53 | MATHNET-00by | MATHNET-03gy | MATHNET-0agx | MATHNET-01ei | MATHNET-0a9f | MATHNET-06nw,0.8632 | 0.8281 | 0.8219 | 0.8043 | 0.7869 | 0.7840 | 0.7808 | 0.7643 | 0.7548 | 0.7536
MATHNET-04hy,MATHNET-0f78 | MATHNET-0eyj | MATHNET-0gme | MATHNET-001e | MATHNET-04iq | MATHNET-0f9f | MATHNET-0dd1 | MATHNET-04up | MATHNET-000s | MATHNET-009e,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 0.9737 | 0.9737
MATHNET-04i0,MATHNET-0bh8 | MATHNET-0aut | MATHNET-09hn | MATHNET-0l80 | MATHNET-0bq4 | MATHNET-0f7p | MATHNET-04st | MATHNET-004m | MATHNET-04dz | MATHNET-0bqa,1.0000 | 1.0000 | 0.9737 | 0.9737 | 0.9737 | 0.9737 | 0.9610 | 0.9610 | 0.9610 | 0.9610
MATHNET-04iq,MATHNET-04hy | MATHNET-0dd1 | MATHNET-0eyj | MATHNET-0f78 | MATHNET-001e | MATHNET-0f9f | MATHNET-0gme | MATHNET-04up | MATHNET-02n9 | MATHNET-009e,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 0.9737 | 0.9737
MATHNET-04iz,MATHNET-010r | MATHNET-0hax | MATHNET-0cwk | MATHNET-08q8 | MATHNET-0lfz | MATHNET-08tg | MATHNET-0dri | MATHNET-0jxw | MATHNET-035k | MATHNET-01b7,0.7736 | 0.7394 | 0.7387 | 0.7089 | 0.6926 | 0.6893 | 0.6805 | 0.6804 | 0.6691 | 0.6649
MATHNET-04k6,MATHNET-03w8 | MATHNET-0bfx | MATHNET-08py | MATHNET-039y | MATHNET-0dtj | MATHNET-0e2b | MATHNET-0hak | MATHNET-08im | MATHNET-0cey | MATHNET-017j,0.8526 | 0.8076 | 0.7743 | 0.7688 | 0.7606 | 0.7278 | 0.7194 | 0.7161 | 0.6975 | 0.6955
MATHNET-04kx,MATHNET-06au | MATHNET-03nf | MATHNET-0759 | MATHNET-01u3 | MATHNET-0a4r | MATHNET-020y | MATHNET-01bj | MATHNET-0ias | MATHNET-04yn | MATHNET-0dad,0.8201 | 0.7419 | 0.7264 | 0.6869 | 0.6858 | 0.6835 | 0.6772 | 0.6763 | 0.6712 | 0.6691
MATHNET-04p0,MATHNET-0ag8 | MATHNET-0e5q | MATHNET-09jx | MATHNET-0cey | MATHNET-0k0z | MATHNET-07l2 | MATHNET-01oe | MATHNET-08im | MATHNET-0gy1 | MATHNET-0d0r,0.7611 | 0.7415 | 0.7366 | 0.7336 | 0.7330 | 0.7225 | 0.7107 | 0.7082 | 0.6973 | 0.6896
MATHNET-04qz,MATHNET-0jog | MATHNET-07x2 | MATHNET-01b9 | MATHNET-00rl | MATHNET-0gq8 | MATHNET-00ps | MATHNET-09xc | MATHNET-00vm | MATHNET-0iic | MATHNET-0dqz,0.8818 | 0.8596 | 0.8422 | 0.8415 | 0.8411 | 0.8274 | 0.8239 | 0.8209 | 0.8078 | 0.7992
MATHNET-04ra,MATHNET-0blq | MATHNET-0b7y | MATHNET-038o | MATHNET-0if1 | MATHNET-0htx | MATHNET-0idy | MATHNET-04yy | MATHNET-0dz5 | MATHNET-0j86 | MATHNET-00l0,0.8178 | 0.8016 | 0.8009 | 0.7979 | 0.7927 | 0.7878 | 0.7851 | 0.7759 | 0.7743 | 0.7724
MATHNET-04ru,MATHNET-00ny | MATHNET-03e9 | MATHNET-0212 | MATHNET-0dqz | MATHNET-0g45 | MATHNET-0479 | MATHNET-0c66 | MATHNET-0iic | MATHNET-0eu5 | MATHNET-03ln,0.8888 | 0.8693 | 0.8550 | 0.8421 | 0.8398 | 0.8313 | 0.8246 | 0.8215 | 0.8213 | 0.8204
MATHNET-04st,MATHNET-0ar9 | MATHNET-0anq | MATHNET-0490 | MATHNET-0lad | MATHNET-04ch | MATHNET-0au5 | MATHNET-0a32 | MATHNET-0gm2 | MATHNET-000t | MATHNET-0atv,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000
MATHNET-04t3,MATHNET-06pl | MATHNET-04u6 | MATHNET-0455 | MATHNET-0akr | MATHNET-0217 | MATHNET-0lfz | MATHNET-01b7 | MATHNET-0dq2 | MATHNET-00up | MATHNET-06ts,0.8580 | 0.8088 | 0.8075 | 0.7924 | 0.7923 | 0.7920 | 0.7901 | 0.7849 | 0.7817 | 0.7743
MATHNET-04u6,MATHNET-0bow | MATHNET-0455 | MATHNET-06pl | MATHNET-0217 | MATHNET-04t3 | MATHNET-0akr | MATHNET-0dq2 | MATHNET-0lfz | MATHNET-05dk | MATHNET-0cy2,0.9000 | 0.8620 | 0.8566 | 0.8548 | 0.8088 | 0.8050 | 0.7483 | 0.7432 | 0.7384 | 0.7262
MATHNET-04up,MATHNET-04hy | MATHNET-0f78 | MATHNET-0eyj | MATHNET-001e | MATHNET-0gme | MATHNET-0f9f | MATHNET-04iq | MATHNET-0dd1 | MATHNET-02n9 | MATHNET-009e,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 0.9737 | 0.9737
MATHNET-04uw,MATHNET-0dgx | MATHNET-09k0 | MATHNET-0c9v | MATHNET-09jr | MATHNET-01t8 | MATHNET-0f03 | MATHNET-0dgr | MATHNET-0cie | MATHNET-09ka | MATHNET-0gg9,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000
MATHNET-04v9,MATHNET-0bhh | MATHNET-0h61 | MATHNET-0ing | MATHNET-0kx0 | MATHNET-020e | MATHNET-0eud | MATHNET-0cm5 | MATHNET-045v | MATHNET-07cc | MATHNET-05dg,0.8817 | 0.8765 | 0.8724 | 0.8710 | 0.8685 | 0.8482 | 0.8416 | 0.8252 | 0.8108 | 0.8104
MATHNET-04vh,MATHNET-0dxz | MATHNET-05dg | MATHNET-0cm5 | MATHNET-07uh | MATHNET-0ing | MATHNET-056b | MATHNET-0j9k | MATHNET-0ax4 | MATHNET-0czk | MATHNET-0h61,0.9170 | 0.8579 | 0.8027 | 0.7812 | 0.7796 | 0.7760 | 0.7736 | 0.7697 | 0.7658 | 0.7520
MATHNET-04x6,MATHNET-00rl | MATHNET-047k | MATHNET-04qz | MATHNET-0jog | MATHNET-0gq8 | MATHNET-06y4 | MATHNET-01b9 | MATHNET-07x2 | MATHNET-0ggp | MATHNET-09xk,0.7975 | 0.7972 | 0.7933 | 0.7857 | 0.7853 | 0.7651 | 0.7604 | 0.7599 | 0.7593 | 0.7521
MATHNET-04xa,MATHNET-0cu8 | MATHNET-0677 | MATHNET-0ed9 | MATHNET-07n6 | MATHNET-07cz | MATHNET-07cj | MATHNET-0akk | MATHNET-017x | MATHNET-06un | MATHNET-00a6,0.8014 | 0.7765 | 0.7636 | 0.7599 | 0.7502 | 0.7416 | 0.7259 | 0.7235 | 0.7211 | 0.7207
MATHNET-04xs,MATHNET-0lco | MATHNET-06vc | MATHNET-0hsp | MATHNET-0et0 | MATHNET-06un | MATHNET-0ed9 | MATHNET-07nk | MATHNET-09et | MATHNET-0cu8 | MATHNET-03yl,0.8685 | 0.8319 | 0.7841 | 0.7573 | 0.7210 | 0.7207 | 0.7141 | 0.7093 | 0.7047 | 0.6959
MATHNET-04yn,MATHNET-02gm | MATHNET-0dad | MATHNET-0cjq | MATHNET-0le9 | MATHNET-0jye | MATHNET-01bj | MATHNET-02h7 | MATHNET-0bx8 | MATHNET-02ex | MATHNET-0b48,0.8811 | 0.8683 | 0.8045 | 0.7871 | 0.7793 | 0.7712 | 0.7682 | 0.7664 | 0.7587 | 0.7460
MATHNET-04yy,MATHNET-0blq | MATHNET-00l0 | MATHNET-00yo | MATHNET-04ra | MATHNET-0b7y | MATHNET-0htx | MATHNET-038o | MATHNET-007d | MATHNET-0e06 | MATHNET-0ckb,0.8380 | 0.8284 | 0.8004 | 0.7851 | 0.7755 | 0.7747 | 0.7693 | 0.7692 | 0.7451 | 0.7372
MATHNET-04zy,MATHNET-076c | MATHNET-072u | MATHNET-03wz | MATHNET-0f8b | MATHNET-07rd | MATHNET-06do | MATHNET-0397 | MATHNET-0500 | MATHNET-0j3m | MATHNET-06i3,0.8758 | 0.8255 | 0.7965 | 0.7827 | 0.7815 | 0.7656 | 0.7603 | 0.7547 | 0.7544 | 0.7534
MATHNET-0500,MATHNET-06i3 | MATHNET-0e73 | MATHNET-0eak | MATHNET-017c | MATHNET-0f8b | MATHNET-07rd | MATHNET-08kn | MATHNET-01bf | MATHNET-06dp | MATHNET-02ex,0.8587 | 0.8358 | 0.8191 | 0.8002 | 0.7921 | 0.7899 | 0.7771 | 0.7738 | 0.7701 | 0.7633
MATHNET-050a,MATHNET-056g | MATHNET-0k94 | MATHNET-0jwx | MATHNET-0gps | MATHNET-0b87 | MATHNET-0bxl | MATHNET-0da8 | MATHNET-01ef | MATHNET-0l1k | MATHNET-0b2w,0.7924 | 0.7731 | 0.7713 | 0.7416 | 0.7307 | 0.7192 | 0.7097 | 0.6977 | 0.6941 | 0.6891
MATHNET-051m,MATHNET-08m2 | MATHNET-06pl | MATHNET-03xn | MATHNET-01b7 | MATHNET-0lfz | MATHNET-06ts | MATHNET-0dq2 | MATHNET-04t3 | MATHNET-0cwk | MATHNET-0bow,0.8247 | 0.7742 | 0.7661 | 0.7641 | 0.7615 | 0.7598 | 0.7426 | 0.7418 | 0.7388 | 0.7287
MATHNET-0528,MATHNET-0hvc | MATHNET-0d0s | MATHNET-07la | MATHNET-0a4k | MATHNET-0gqo | MATHNET-02dy | MATHNET-0hhz | MATHNET-0ibu | MATHNET-00mi | MATHNET-07oo,0.8836 | 0.8687 | 0.8509 | 0.8492 | 0.8476 | 0.8357 | 0.8322 | 0.8283 | 0.8275 | 0.8265
MATHNET-0542,MATHNET-039t | MATHNET-0iqf | MATHNET-0juf | MATHNET-0joq | MATHNET-0ay0 | MATHNET-0kpf | MATHNET-0h8n | MATHNET-0l5j | MATHNET-0j8y | MATHNET-0hn5,0.9111 | 0.9076 | 0.9046 | 0.8856 | 0.8798 | 0.8721 | 0.8597 | 0.8518 | 0.8483 | 0.8401
MATHNET-0553,MATHNET-00xp | MATHNET-0f3f | MATHNET-0l9s | MATHNET-0hax | MATHNET-0le8 | MATHNET-07gp | MATHNET-00nm | MATHNET-08tg | MATHNET-0b84 | MATHNET-06j5,0.7321 | 0.7271 | 0.7174 | 0.7077 | 0.7002 | 0.6983 | 0.6934 | 0.6880 | 0.6846 | 0.6815
MATHNET-056b,MATHNET-0ax4 | MATHNET-04ru | MATHNET-0dqz | MATHNET-0710 | MATHNET-0212 | MATHNET-00ny | MATHNET-0a6c | MATHNET-03e9 | MATHNET-07uh | MATHNET-0h61,0.9643 | 0.8198 | 0.8156 | 0.8119 | 0.8102 | 0.8003 | 0.7976 | 0.7849 | 0.7840 | 0.7803
MATHNET-056g,MATHNET-0b2w | MATHNET-0l1k | MATHNET-0jwx | MATHNET-0bmd | MATHNET-0bxl | MATHNET-0b87 | MATHNET-050a | MATHNET-0da8 | MATHNET-0bwb | MATHNET-0k94,0.8277 | 0.8271 | 0.8258 | 0.8039 | 0.7935 | 0.7925 | 0.7924 | 0.7890 | 0.7836 | 0.7760
MATHNET-058t,MATHNET-08y6 | MATHNET-01ef | MATHNET-01rg | MATHNET-0a5l | MATHNET-0est | MATHNET-0652 | MATHNET-0dbf | MATHNET-0inz | MATHNET-0aho | MATHNET-0hxe,0.8434 | 0.8309 | 0.8216 | 0.8214 | 0.8108 | 0.8103 | 0.8023 | 0.7938 | 0.7929 | 0.7837
MATHNET-0590,MATHNET-0jqi | MATHNET-078n | MATHNET-0dsa | MATHNET-00ug | MATHNET-0hjb | MATHNET-0jld | MATHNET-0a95 | MATHNET-032t | MATHNET-0b2t | MATHNET-0j86,0.7967 | 0.7871 | 0.7745 | 0.7683 | 0.7512 | 0.7374 | 0.7315 | 0.7273 | 0.7266 | 0.7206
MATHNET-05ai,MATHNET-0dyz | MATHNET-01uc | MATHNET-00k4 | MATHNET-01ub | MATHNET-0dk0 | MATHNET-0ij0 | MATHNET-03xa | MATHNET-0k65 | MATHNET-0law | MATHNET-0kqa,0.8200 | 0.7965 | 0.7895 | 0.7812 | 0.7747 | 0.7744 | 0.7712 | 0.7693 | 0.7687 | 0.7673
MATHNET-05aq,MATHNET-03gy | MATHNET-00s2 | MATHNET-03nj | MATHNET-0h10 | MATHNET-0kqa | MATHNET-01ei | MATHNET-0dyz | MATHNET-01db | MATHNET-0dyh | MATHNET-08o1,0.8573 | 0.8030 | 0.7853 | 0.7812 | 0.7717 | 0.7671 | 0.7530 | 0.7414 | 0.7232 | 0.7183
MATHNET-05bk,MATHNET-07d3 | MATHNET-077h | MATHNET-0c66 | MATHNET-03n8 | MATHNET-0iic | MATHNET-05d6 | MATHNET-08pi | MATHNET-0387 | MATHNET-0jgz | MATHNET-08y2,0.8633 | 0.8291 | 0.8245 | 0.8232 | 0.8113 | 0.8003 | 0.7980 | 0.7947 | 0.7945 | 0.7906
MATHNET-05d6,MATHNET-0c66 | MATHNET-01u2 | MATHNET-00h0 | MATHNET-0932 | MATHNET-03ln | MATHNET-0eu5 | MATHNET-03e9 | MATHNET-0dps | MATHNET-00hy | MATHNET-090z,0.8876 | 0.8719 | 0.8715 | 0.8715 | 0.8594 | 0.8537 | 0.8511 | 0.8394 | 0.8349 | 0.8314
MATHNET-05dg,MATHNET-0cm5 | MATHNET-0ing | MATHNET-04vh | MATHNET-0dxz | MATHNET-0bhh | MATHNET-04v9 | MATHNET-020e | MATHNET-0kx0 | MATHNET-0h61 | MATHNET-07cc,0.9167 | 0.8711 | 0.8579 | 0.8428 | 0.8240 | 0.8104 | 0.8013 | 0.7925 | 0.7854 | 0.7743
MATHNET-05dk,MATHNET-0kfw | MATHNET-0glc | MATHNET-0906 | MATHNET-0akr | MATHNET-0217 | MATHNET-0455 | MATHNET-06pl | MATHNET-0bow | MATHNET-04u6 | MATHNET-04t3,0.9341 | 0.9135 | 0.8835 | 0.8816 | 0.8430 | 0.8332 | 0.7833 | 0.7452 | 0.7384 | 0.7283
MATHNET-05e9,MATHNET-06y2 | MATHNET-077k | MATHNET-06op | MATHNET-090z | MATHNET-08zz | MATHNET-06si | MATHNET-03ln | MATHNET-06ke | MATHNET-0784 | MATHNET-0bzc,0.9797 | 0.9272 | 0.9155 | 0.9059 | 0.8788 | 0.8769 | 0.8499 | 0.8488 | 0.8459 | 0.8401
MATHNET-05f6,MATHNET-0h39 | MATHNET-0g60 | MATHNET-02ya | MATHNET-0fvr | MATHNET-02zm | MATHNET-05qu | MATHNET-0dvx | MATHNET-087s | MATHNET-090w | MATHNET-0gj4,0.8769 | 0.8714 | 0.8713 | 0.8572 | 0.8563 | 0.8493 | 0.8375 | 0.8362 | 0.8313 | 0.8257
MATHNET-05g5,MATHNET-07yc | MATHNET-0cr9 | MATHNET-0g0d | MATHNET-0fdi | MATHNET-09q7 | MATHNET-09tk | MATHNET-0g3p | MATHNET-081p | MATHNET-0302 | MATHNET-05zn,0.9571 | 0.9138 | 0.8802 | 0.8778 | 0.8754 | 0.8754 | 0.8752 | 0.8533 | 0.8509 | 0.8492
MATHNET-05gq,MATHNET-0dvk | MATHNET-0fru | MATHNET-0hai | MATHNET-09c4 | MATHNET-0fk5 | MATHNET-08kq | MATHNET-05ta | MATHNET-05k2 | MATHNET-0fv2 | MATHNET-0cmw,0.8836 | 0.8732 | 0.8674 | 0.8618 | 0.8497 | 0.8497 | 0.8473 | 0.8362 | 0.8249 | 0.8175
MATHNET-05i6,MATHNET-02uo | MATHNET-0ef5 | MATHNET-0bml | MATHNET-0fk5 | MATHNET-0ads | MATHNET-067b | MATHNET-028y | MATHNET-0apq | MATHNET-0ft3 | MATHNET-0fyx,0.9037 | 0.8746 | 0.8455 | 0.8452 | 0.8390 | 0.8376 | 0.8337 | 0.8334 | 0.8194 | 0.8131
MATHNET-05ia,MATHNET-09cc | MATHNET-01os | MATHNET-0bnb | MATHNET-0fj3 | MATHNET-0fyx | MATHNET-0ads | MATHNET-067b | MATHNET-0bml | MATHNET-0bgs | MATHNET-028y,0.9302 | 0.8742 | 0.8599 | 0.8585 | 0.8509 | 0.8439 | 0.8410 | 0.8273 | 0.8082 | 0.8076
MATHNET-05j5,MATHNET-0jdx | MATHNET-0g61 | MATHNET-014t | MATHNET-06c9 | MATHNET-0fti | MATHNET-0f3n | MATHNET-0hj7 | MATHNET-08kq | MATHNET-0az2 | MATHNET-0gda,0.8622 | 0.8582 | 0.8567 | 0.8550 | 0.8522 | 0.8518 | 0.8390 | 0.8288 | 0.8259 | 0.8221
MATHNET-05jg,MATHNET-00lt | MATHNET-05yo | MATHNET-0dmc | MATHNET-0fnb | MATHNET-0fg1 | MATHNET-0fxv | MATHNET-060t | MATHNET-064l | MATHNET-05qn | MATHNET-09tk,0.9408 | 0.9400 | 0.9305 | 0.9110 | 0.8996 | 0.8864 | 0.8808 | 0.8767 | 0.8755 | 0.8677
MATHNET-05jo,MATHNET-05vy | MATHNET-0g1n | MATHNET-09sr | MATHNET-05m2 | MATHNET-05zn | MATHNET-08ek | MATHNET-0csu | MATHNET-05z2 | MATHNET-0dmg | MATHNET-085n,0.8939 | 0.8903 | 0.8838 | 0.8727 | 0.8629 | 0.8612 | 0.8485 | 0.8404 | 0.8280 | 0.8204
